image_id,split,image_path,label_path,sha256
train/G0216860_JPG.rf.8d8b00fcc87e497d0c220abd6ebb0026,train,data/extracted/data/images/train/G0216860_JPG.rf.8d8b00fcc87e497d0c220abd6ebb0026.jpg,data/extracted/data/labels/train/G0216860_JPG.rf.8d8b00fcc87e497d0c220abd6ebb0026.txt,0732263f808ff745b24485df17e3adc6ea632203fe26718db69c3d51415e56b3
train/G0217783_JPG.rf.9e12c20e7d137399b032d8da66ad7426,train,data/extracted/data/images/train/G0217783_JPG.rf.9e12c20e7d137399b032d8da66ad7426.jpg,data/extracted/data/labels/train/G0217783_JPG.rf.9e12c20e7d137399b032d8da66ad7426.txt,5848facfeb9e3b6afbcd777873c50e1a535124b4483ac783c1b3ce25f200ce3a
train/G0217910_JPG.rf.4a810acfebc8d5be5e8e129eb728c749,train,data/extracted/data/images/train/G0217910_JPG.rf.4a810acfebc8d5be5e8e129eb728c749.jpg,data/extracted/data/labels/train/G0217910_JPG.rf.4a810acfebc8d5be5e8e129eb728c749.txt,59f089044887e1cd0b516c93ec6e592c98c514e72c7c99eb63c6be0ece4b8c7b
train/G0226861_JPG.rf.93a12b09076f81b4efb3d27f2c47e501,train,data/extracted/data/images/train/G0226861_JPG.rf.93a12b09076f81b4efb3d27f2c47e501.jpg,data/extracted/data/labels/train/G0226861_JPG.rf.93a12b09076f81b4efb3d27f2c47e501.txt,be502a96e43b06299b512dcc6e81123c7139a540d21bfdfb539f8c5294c56b5c
train/G0226881_JPG.rf.b66b7c18c2db50c8037425cb690305e3,train,data/extracted/data/images/train/G0226881_JPG.rf.b66b7c18c2db50c8037425cb690305e3.jpg,data/extracted/data/labels/train/G0226881_JPG.rf.b66b7c18c2db50c8037425cb690305e3.txt,e5c8c0f2734f54f986ce0761b1f09c152048f2a1817c1c681b42327e7081bd13
train/G0226882_JPG.rf.fbf6f36e2818fc429ba87592e593c50f,train,data/extracted/data/images/train/G0226882_JPG.rf.fbf6f36e2818fc429ba87592e593c50f.jpg,data/extracted/data/labels/train/G0226882_JPG.rf.fbf6f36e2818fc429ba87592e593c50f.txt,17d87a7b884115f11f27f4040ce53485f7d95234879ee7204ddb83bae5725112
train/G0257240_JPG.rf.24dc9730b3c02287669dc53fa50535a7,train,data/extracted/data/images/train/G0257240_JPG.rf.24dc9730b3c02287669dc53fa50535a7.jpg,data/extracted/data/labels/train/G0257240_JPG.rf.24dc9730b3c02287669dc53fa50535a7.txt,4ce5672d960af3848ad08440b6d510e5ae19337c8de71a0a18e7a9f7cfe17453
train/G0267268_JPG.rf.5af525d4a7c61c363367b927121d5de6,train,data/extracted/data/images/train/G0267268_JPG.rf.5af525d4a7c61c363367b927121d5de6.jpg,data/extracted/data/labels/train/G0267268_JPG.rf.5af525d4a7c61c363367b927121d5de6.txt,1d217e700ebfbfdcfb3017c19fa420d449873699a9450970a818d2bfc0d728fa
train/G0307388_JPG.rf.ac47238bae84927a867c8e3b1c332589,train,data/extracted/data/images/train/G0307388_JPG.rf.ac47238bae84927a867c8e3b1c332589.jpg,data/extracted/data/labels/train/G0307388_JPG.rf.ac47238bae84927a867c8e3b1c332589.txt,40f894ababd92fb14f0b0ef0c90a3ba5441b51682eaed9b56bd8382424120349
train/GOPR6951_JPG.rf.1d0e8c3588b97459a90993362e552523,train,data/extracted/data/images/train/GOPR6951_JPG.rf.1d0e8c3588b97459a90993362e552523.jpg,data/extracted/data/labels/train/GOPR6951_JPG.rf.1d0e8c3588b97459a90993362e552523.txt,41d6a80c69502486d7239fcd8456fdaa15a98a88989d9bd3f2ed54cf519777a6
train/GOPR6952_JPG.rf.44ae913ae976f6fae8f9273c4d7675d0,train,data/extracted/data/images/train/GOPR6952_JPG.rf.44ae913ae976f6fae8f9273c4d7675d0.jpg,data/extracted/data/labels/train/GOPR6952_JPG.rf.44ae913ae976f6fae8f9273c4d7675d0.txt,1b913b395a8038887ebaebe317e18b50cf4e4ad41971e236e8d15db539e9a6d9
train/GOPR6953_JPG.rf.30e6c7ce339226caae823979ce6edb23,train,data/extracted/data/images/train/GOPR6953_JPG.rf.30e6c7ce339226caae823979ce6edb23.jpg,data/extracted/data/labels/train/GOPR6953_JPG.rf.30e6c7ce339226caae823979ce6edb23.txt,35cd6ad37ed3a455639447f3fb7df3ec8d157281ce8be0fe9da3132b27c9620f
train/GOPR6956_JPG.rf.984fc9d73497367f16cca84d6ec6841f,train,data/extracted/data/images/train/GOPR6956_JPG.rf.984fc9d73497367f16cca84d6ec6841f.jpg,data/extracted/data/labels/train/GOPR6956_JPG.rf.984fc9d73497367f16cca84d6ec6841f.txt,1b602477b3dfde01a9ca0b8a04c5d4ad3c86cb2c66f4a3337bfbaa7d2acf7ea2
train/GOPR6957_JPG.rf.28190dae94a271f9ae38f5d5a83114e2,train,data/extracted/data/images/train/GOPR6957_JPG.rf.28190dae94a271f9ae38f5d5a83114e2.jpg,data/extracted/data/labels/train/GOPR6957_JPG.rf.28190dae94a271f9ae38f5d5a83114e2.txt,4636e6e32a43edbb96f5b9daaa732e35e4c63475e2771f80aaa1c44e6828fef5
train/GOPR6958_JPG.rf.d3e627012967a908d4c34f6882dc35c1,train,data/extracted/data/images/train/GOPR6958_JPG.rf.d3e627012967a908d4c34f6882dc35c1.jpg,data/extracted/data/labels/train/GOPR6958_JPG.rf.d3e627012967a908d4c34f6882dc35c1.txt,2cc3478bc0db24de916f89f8f321780d4d438a83e2d0efc8944377dd21b3a55d
train/GOPR6959_JPG.rf.7becd467cca6a08a56049157123965b4,train,data/extracted/data/images/train/GOPR6959_JPG.rf.7becd467cca6a08a56049157123965b4.jpg,data/extracted/data/labels/train/GOPR6959_JPG.rf.7becd467cca6a08a56049157123965b4.txt,a53da69860253fe91f4b8c4d631dc900049ce9bd1a93512ab636635c17e047fe
train/GOPR6961_JPG.rf.c6df1e0602a8c2fd64e014c3facd4a2c,train,data/extracted/data/images/train/GOPR6961_JPG.rf.c6df1e0602a8c2fd64e014c3facd4a2c.jpg,data/extracted/data/labels/train/GOPR6961_JPG.rf.c6df1e0602a8c2fd64e014c3facd4a2c.txt,4f27c5d372f1a49608df0297abd84b03f9f79999becdf2f9c23edf64a939cfd9
train/GOPR6962_JPG.rf.6b5bc3fa1515878b6a83fc1719e7177e,train,data/extracted/data/images/train/GOPR6962_JPG.rf.6b5bc3fa1515878b6a83fc1719e7177e.jpg,data/extracted/data/labels/train/GOPR6962_JPG.rf.6b5bc3fa1515878b6a83fc1719e7177e.txt,07e0555d47b6a6d3aba53bf8d5af87fafdac952409b339da53e78f47eeb91eb8
train/GOPR6963_JPG.rf.3a59fb26b1335c88445bcf6dcec2ae56,train,data/extracted/data/images/train/GOPR6963_JPG.rf.3a59fb26b1335c88445bcf6dcec2ae56.jpg,data/extracted/data/labels/train/GOPR6963_JPG.rf.3a59fb26b1335c88445bcf6dcec2ae56.txt,0b050c21e9e603080d8c1a5a01650588094a5cb8e9839f64b026da70902ac870
train/GOPR6964_JPG.rf.fad5d0ac52ebca6253dfb0269d2e9ff7,train,data/extracted/data/images/train/GOPR6964_JPG.rf.fad5d0ac52ebca6253dfb0269d2e9ff7.jpg,data/extracted/data/labels/train/GOPR6964_JPG.rf.fad5d0ac52ebca6253dfb0269d2e9ff7.txt,d491426b5c1a35e6df0df6664889f2b1d8e46f11349902d2a2cca82d1144ee46
