image_path,filename,split,width,height,aspect_ratio,format,file_size_bytes,colour_channels,mode,md5,duplicate_filename_count
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR6990_JPG.rf.981d492fda6882d609385a301391b63f.jpg,GOPR6990_JPG.rf.981d492fda6882d609385a301391b63f.jpg,test,640,640,1.0,JPEG,112103,3,RGB,a3d1a4a1e279aeb0b1a839b39003aed1,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR6991_JPG.rf.cb59b0e11e00ab6f2eb7dd2054ec6da4.jpg,GOPR6991_JPG.rf.cb59b0e11e00ab6f2eb7dd2054ec6da4.jpg,test,640,640,1.0,JPEG,114783,3,RGB,57019239cbaef484da982875f4054d80,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7003_JPG.rf.43bdcfeab63e1882f5cb3727ccc02748.jpg,GOPR7003_JPG.rf.43bdcfeab63e1882f5cb3727ccc02748.jpg,test,640,640,1.0,JPEG,134450,3,RGB,3396874b209e3508bd18cde1045ecb5b,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7027_JPG.rf.1df481618d254f05e42beadf1c757a8a.jpg,GOPR7027_JPG.rf.1df481618d254f05e42beadf1c757a8a.jpg,test,640,640,1.0,JPEG,123861,3,RGB,5615f48e833f3aa672e24cc4fd00773e,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7038_JPG.rf.6d574775ba9dace74383d2e30ac92c2e.jpg,GOPR7038_JPG.rf.6d574775ba9dace74383d2e30ac92c2e.jpg,test,640,640,1.0,JPEG,127604,3,RGB,1260414676391094c871d8e7cfbe0d22,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7047_JPG.rf.22e2c11645eea3412a64c44e96aa402c.jpg,GOPR7047_JPG.rf.22e2c11645eea3412a64c44e96aa402c.jpg,test,640,640,1.0,JPEG,118205,3,RGB,26e9f0fcf89107a16e76cf91cff59201,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7065_JPG.rf.65102403959d3c6a78490a220a21eec3.jpg,GOPR7065_JPG.rf.65102403959d3c6a78490a220a21eec3.jpg,test,640,640,1.0,JPEG,78777,3,RGB,61cc2a3b2868292d378cc889493f185d,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7076_JPG.rf.f5d7743a2fcb0d40d380ea72c58111f1.jpg,GOPR7076_JPG.rf.f5d7743a2fcb0d40d380ea72c58111f1.jpg,test,640,640,1.0,JPEG,115698,3,RGB,45916899da7d4444d86994afb3eef111,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7079_JPG.rf.747086eb07c0052b68a7da5227fa8cd8.jpg,GOPR7079_JPG.rf.747086eb07c0052b68a7da5227fa8cd8.jpg,test,640,640,1.0,JPEG,116653,3,RGB,6234416ccb1d0c7baaa390e91f2c7805,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7103_JPG.rf.8f18c01a3d31f4816845143a7b6e7b0f.jpg,GOPR7103_JPG.rf.8f18c01a3d31f4816845143a7b6e7b0f.jpg,test,640,640,1.0,JPEG,96980,3,RGB,e783ca4685089d381e33b3b6e8133d88,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7105_JPG.rf.4ec0bd3fd3b02bee57050f8055aa2350.jpg,GOPR7105_JPG.rf.4ec0bd3fd3b02bee57050f8055aa2350.jpg,test,640,640,1.0,JPEG,77424,3,RGB,4853b696bca79575fdc86b8fa89a88c2,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7106_JPG.rf.ef541873670cce948b81f5ecfabfbbab.jpg,GOPR7106_JPG.rf.ef541873670cce948b81f5ecfabfbbab.jpg,test,640,640,1.0,JPEG,91110,3,RGB,8d6249845f4626be67158ba4fd055ab3,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7107_JPG.rf.837dede8b85fa42c64c46407b379a4b3.jpg,GOPR7107_JPG.rf.837dede8b85fa42c64c46407b379a4b3.jpg,test,640,640,1.0,JPEG,122085,3,RGB,91fccc582208615cdd49f6aefd12f114,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7110_JPG.rf.5bff09629f25632f2953b2f2d781ee55.jpg,GOPR7110_JPG.rf.5bff09629f25632f2953b2f2d781ee55.jpg,test,640,640,1.0,JPEG,95576,3,RGB,e42dbedfd8a6e61eb145392a46424fb2,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7111_JPG.rf.f81e1a53315c53cfa2b7a4d7a3142ef9.jpg,GOPR7111_JPG.rf.f81e1a53315c53cfa2b7a4d7a3142ef9.jpg,test,640,640,1.0,JPEG,77115,3,RGB,ca02c245d97b41cf49b175d2cd16ee0c,1
/Users/macbook/Documents/cassava-navigation-ai/data/extracted/data/images/test/GOPR7121_JPG.rf.157fcd071b2b71551742b672c6823bb1.jpg,GOPR7121_JPG.rf.157fcd071b2b71551742b672c6823bb1.jpg,test,640,640,1.0,JPEG,126970,3,RGB,30a95472f4639e49125be441c877a831,1
